step,epoch,data/consumed_samples,data/consumed_tokens,training/foundation_loss,training/total_loss,training/grad_norm,training/lr,performance/step_time,performance/tokens_per_second,memory/device_max_allocated_gb,memory/device_max_reserved_gb
0,0,16,63,12.6836,12.6836,93.0278,3e-05,13.4122,4.69723,37.4315,48.4922
1,0,32,118,12.1992,12.1992,98.3976,2.99924e-05,4.98461,11.034,38.7983,48.5
2,0,48,195,12.125,12.125,85.4847,2.99698e-05,4.98071,15.4596,38.8035,48.5
3,0,64,263,11.5469,11.5469,82.2406,2.99321e-05,4.98974,13.628,38.8035,48.5
4,0,80,367,11.6367,11.6367,62.5491,2.98793e-05,5.03637,20.6498,38.8035,48.5
5,0,96,470,11.4453,11.4453,61.6831,2.98116e-05,4.99742,20.6106,38.8125,48.5
6,0,112,568,11.0625,11.0625,56.7537,2.97289e-05,4.95753,19.7679,38.8125,48.5
7,0,128,628,9.8125,9.8125,72.5371,2.96314e-05,5.10449,11.7544,38.8125,48.5
8,0,144,689,9.94141,9.94141,44.8793,2.95192e-05,5.00427,12.1896,38.8125,48.5
9,0,160,749,9.48438,9.48438,62.5429,2.93924e-05,4.95641,12.1055,38.8125,48.5
10,0,176,822,10.4961,10.4961,112.069,2.92511e-05,4.98732,14.6371,38.8125,48.5
11,0,192,881,9.31641,9.31641,111.643,2.90954e-05,4.97719,11.8541,38.8125,48.5
12,0,208,987,11.375,11.375,128.487,2.89255e-05,4.95603,21.3881,38.8125,48.5
13,0,224,1068,9.99609,9.99609,107.561,2.87416e-05,4.97083,16.2951,38.8125,48.5
14,0,240,1139,9.25,9.25,58.5097,2.85439e-05,4.94074,14.3703,38.8125,48.5
15,0,256,1209,8.69922,8.69922,47.6533,2.83325e-05,4.93757,14.177,38.8125,48.5
16,0,272,1272,8.54688,8.54688,47.5166,2.81077e-05,4.93919,12.7551,38.8125,48.5
17,0,288,1348,9.11719,9.11719,43.1355,2.78698e-05,4.9452,15.3685,38.8125,48.5
18,0,304,1435,9.56641,9.56641,40.8291,2.76188e-05,4.97195,17.4982,38.8125,48.5
19,0,320,1514,9.01953,9.01953,47.1711,2.73551e-05,4.96363,15.9158,38.8125,48.5
20,0,336,1611,9.82031,9.82031,38.8557,2.70791e-05,4.97749,19.4877,38.8125,48.5
21,0,352,1684,9.375,9.375,46.7385,2.67908e-05,4.93741,14.7851,38.8125,48.5
22,0,368,1774,8.50781,8.50781,45.0292,2.64907e-05,4.96017,18.1445,38.8125,48.5
23,0,384,1854,9.67188,9.67188,40.3639,2.6179e-05,4.94844,16.1667,38.8125,48.5
24,0,400,1942,8.45312,8.45312,39.6047,2.5856e-05,4.98359,17.658,38.8125,48.502
25,0,416,2038,9.76172,9.76172,42.2806,2.55221e-05,4.96557,19.3331,38.8125,48.502
26,0,432,2124,7.69141,7.69141,42.8141,2.51776e-05,4.96245,17.3301,38.8125,48.502
27,0,448,2225,9.51172,9.51172,38.3395,2.48229e-05,4.92775,20.4962,38.8125,48.502
28,0,464,2304,9.75,9.75,41.8535,2.44583e-05,4.94259,15.9835,38.8125,48.502
29,0,480,2392,8.76172,8.76172,35.5592,2.40841e-05,4.96037,17.7406,38.8125,48.502
30,0,496,2457,8.1875,8.1875,40.2537,2.37009e-05,4.95885,13.1079,38.8125,48.502
31,0,512,2545,8.69531,8.69531,35.2971,2.33088e-05,4.94688,17.789,38.8125,48.502
32,1,528,2614,7.54883,7.54883,41.4532,2.29084e-05,4.95454,13.9266,38.8125,48.502
33,1,544,2708,6.78711,6.78711,33.7814,2.25e-05,4.92216,19.0973,38.8125,48.502
34,1,560,2810,7.58203,7.58203,34.4709,2.20841e-05,4.93632,20.6632,38.8125,48.502
35,1,576,2886,6.94336,6.94336,39.5536,2.1661e-05,4.93191,15.4098,38.8125,48.502
36,1,592,2960,7.50195,7.50195,39.3349,2.12312e-05,4.93806,14.9856,38.8125,48.502
37,1,608,3048,7.08398,7.08398,33.989,2.07952e-05,4.96984,17.7068,38.8125,48.502
38,1,624,3123,6.82031,6.82031,36.1189,2.03533e-05,4.93807,15.1881,38.8125,48.502
39,1,640,3181,5.93555,5.93555,40.7747,1.9906e-05,4.93569,11.7512,38.8125,48.502
40,1,656,3263,6.25391,6.25391,35.0151,1.94538e-05,4.98145,16.4611,38.8125,48.502
41,1,672,3342,7.15234,7.15234,42.481,1.89971e-05,4.92439,16.0426,38.8125,48.502
42,1,688,3428,6.5625,6.5625,39.2846,1.85364e-05,4.94569,17.3889,38.8125,48.502
43,1,704,3499,6.22461,6.22461,39.7201,1.80721e-05,4.94593,14.3552,38.8125,48.502
44,1,720,3586,6.375,6.375,38.5931,1.76047e-05,4.95505,17.5579,38.8125,48.502
45,1,736,3664,6.42773,6.42773,36.9301,1.71347e-05,4.94611,15.77,38.8125,48.502
46,1,752,3735,6.70703,6.70703,37.5337,1.66626e-05,4.93869,14.3763,38.8125,48.502
47,1,768,3820,6.67383,6.67383,37.2881,1.61887e-05,4.9581,17.1437,38.8125,48.502
48,1,784,3918,7.03125,7.03125,34.9667,1.57137e-05,5.02333,19.509,38.8125,48.502
49,1,800,3980,5.24805,5.24805,39.8125,1.5238e-05,5.02463,12.3392,38.8125,48.502
50,1,816,4044,6.31641,6.31641,40.5884,1.4762e-05,4.97098,12.8747,38.8125,48.502
51,1,832,4117,6.37109,6.37109,39.317,1.42863e-05,4.96721,14.6964,38.8125,48.502
52,1,848,4237,7.5625,7.5625,36.0294,1.38113e-05,4.95885,24.1992,38.8125,48.502
53,1,864,4305,6.25,6.25,38.6959,1.33374e-05,4.96404,13.6985,38.8125,48.502
54,1,880,4371,5.78516,5.78516,43.1555,1.28653e-05,4.96025,13.3058,38.8125,48.502
55,1,896,4437,6.0332,6.0332,40.4626,1.23953e-05,4.99175,13.2218,38.8125,48.502
56,1,912,4513,6.28125,6.28125,36.0292,1.19279e-05,4.94217,15.3779,38.8125,48.502
57,1,928,4601,6.0293,6.0293,37.15,1.14636e-05,4.94846,17.7833,38.8125,48.502
58,1,944,4693,6.22461,6.22461,36.7236,1.10029e-05,4.93091,18.6578,38.8125,48.502
59,1,960,4773,6.91406,6.91406,36.8797,1.05462e-05,4.94267,16.1856,38.8125,48.502
60,1,976,4847,6.12891,6.12891,36.8676,1.0094e-05,4.98304,14.8504,38.8125,48.502
61,1,992,4929,6.30859,6.30859,41.8834,9.64671e-06,4.94537,16.5812,38.8125,48.502
62,1,1008,5029,6.07227,6.07227,39.7063,9.20482e-06,4.94689,20.2147,38.8125,48.502
63,1,1024,5090,4.80859,4.80859,37.357,8.76877e-06,4.97404,12.2637,38.8125,48.502
64,2,1040,5178,4.65234,4.65234,33.2585,8.339e-06,4.96341,17.7297,38.8125,48.502
65,2,1056,5267,5.125,5.125,34.722,7.91593e-06,4.96093,17.9402,38.8125,48.502
66,2,1072,5333,5.55078,5.55078,40.5621,7.5e-06,4.93323,13.3787,38.8125,48.502
67,2,1088,5404,5.72266,5.72266,39.5664,7.09162e-06,4.95584,14.3265,38.8125,48.502
68,2,1104,5471,4.85156,4.85156,39.6073,6.6912e-06,4.94709,13.5433,38.8125,48.502
69,2,1120,5557,4.84375,4.84375,34.4218,6.29915e-06,4.95678,17.35,38.8125,48.502
70,2,1136,5654,6.0,6.0,37.9028,5.91585e-06,4.95721,19.5675,38.8125,48.502
